交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-04-01 08:49:37.270895,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793437783957573632,4200000076201804019625011243,WX000000072604,odbfdwfkaDl1dBXax64QnlFIl1PA,weixin.MICROPAY,交易,CFT,CNY,10000,0,,,,,,厦门市第二医院门诊充值,无,0,0,10000,,,,,
2018-04-01 09:52:14.150504,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793500811596009472,4200000076201804019631546734,WX000000072686,odbfdwQG_wGKRU8jPIrA4RkS72rA,weixin.NATIVE,交易,CCB_DEBIT,CNY,25000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,25000,,,,,
2018-04-01 08:13:02.385340,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793400957616132096,4200000076201804019672525201,WX000000072548,odbfdwQ20mtuVgMH71icPzQiPVoQ,weixin.NATIVE,交易,CFT,CNY,10000,14,,,,,,厦门市第二医院门诊微信充值,无,0,0,10000,,,,,
2018-04-01 10:03:51.575123,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793512511858675712,4200000076201804019692910579,WX000000072703,odbfdwa7cP_DQ1r8h5V62zXhRODA,weixin.NATIVE,交易,CFT,CNY,10000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,10000,,,,,
2018-04-01 10:59:42.436275,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793568732912947200,4200000076201804019733615999,WX000000072780,odbfdwUKMMAu1zRYo0O-OEDT0gck,weixin.MICROPAY,交易,PAB_CREDIT,CNY,20000,0,,,,,,厦门市第二医院门诊充值,无,0,0,20000,,,,,
2018-04-01 11:45:34.888780,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793614911394680832,4200000076201804019792288567,WX000000072815,odbfdwS8VCmwI_p_7xZubxgKLqwQ,weixin.MICROPAY,交易,ABC_DEBIT,CNY,400000,0,,,,,,厦门市第二医院住院充值,无,0,0,400000,,,,,
2018-04-01 13:40:06.552774,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793730195263197184,4200000076201804019842141192,WX000000072866,odbfdwRaAMA3Xaj3BEKtAD1DDETw,weixin.NATIVE,交易,CFT,CNY,10000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,10000,,,,,
2018-04-01 17:11:04.124758,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793942554686132224,4200000076201804019865934316,WX000000073041,odbfdwWnlaaVBX6skSA1UBEkQKrQ,weixin.NATIVE,交易,CFT,CNY,30000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,30000,,,,,
2018-04-01 16:12:24.315406,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793883504976465920,4200000076201804019886119008,WX000000073002,odbfdwXvMidEfNzt-UCTO-l9XULY,weixin.MICROPAY,交易,CCB_DEBIT,CNY,3000,0,,,,,,厦门市第二医院门诊充值,无,0,0,3000,,,,,
2018-04-01 19:37:08.055633,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810794089591969288192,4200000077201804010034923949,WX000000073089,odbfdwfxPbY8wNMy-PMeEqHk0yEw,weixin.MICROPAY,交易,CFT,CNY,20000,0,,,,,,厦门市第二医院门诊充值,无,0,0,20000,,,,,
